id,category,company,logo,title,location,type,remote,salary,description,tags,posted,featured
1,technology,Stripe,💳,Senior Frontend Engineer,San Francisco,Full Time,true,"$140k-$180k","Join our platform team to build the future of payments infrastructure. Work with cutting-edge tech stacks in a collaborative environment.","React|TypeScript|GraphQL",2 days ago,true
2,design,Figma,🎨,Product Designer,Remote,Full Time,true,"$110k-$140k","Shape the tools that millions of designers use. Own end-to-end design for core product features from research to polished UI.","Figma|UI/UX|Prototyping",1 day ago,true
3,technology,Vercel,▲,DevOps Engineer,New York,Full Time,false,"$120k-$155k","Scale the infrastructure powering millions of web deployments. You'll work on distributed systems, CI/CD pipelines, and cloud architecture.","Kubernetes|AWS|Terraform",3 days ago,false
4,marketing,HubSpot,🟠,Growth Marketing Lead,London,Full Time,false,"£80k-£100k","Drive user acquisition and retention campaigns for a suite of B2B SaaS tools. Experiment-driven culture with massive impact on growth.","SEO|Paid Ads|Analytics",5 days ago,false
5,finance,Ramp,💰,Financial Analyst,Remote,Contract,true,"$90k-$120k","Analyze financial data and build models to guide strategic decisions for fast-growing fintech company disrupting corporate finance.","Excel|SQL|Python",1 week ago,false
6,technology,Linear,⚡,Backend Engineer,San Francisco,Full Time,true,"$130k-$165k","Build the backbone of the project management tool loved by the best engineering teams. Focus on performance, reliability, and developer experience.","Node.js|PostgreSQL|Redis",4 days ago,true
7,healthcare,Teladoc Health,💊,Clinical Product Manager,Remote,Full Time,true,"$125k-$150k","Lead product strategy for virtual care experiences that improve access and outcomes for patients and clinicians.","Product Strategy|Healthcare|Agile",2 days ago,true
8,sales,Salesforce,🤝,Account Executive,New York,Full Time,false,"$95k-$140k","Own the full sales cycle for enterprise accounts and help teams adopt cloud CRM solutions with measurable impact.","Enterprise Sales|CRM|Negotiation",6 days ago,false
9,technology,Cloudflare,☁️,Site Reliability Engineer,Remote,Full Time,true,"$145k-$185k","Keep global infrastructure fast, secure, and resilient while supporting one of the largest networks on the web.","SRE|Linux|Distributed Systems",1 day ago,true
10,design,Canva,✏️,Senior Motion Designer,Remote,Contract,true,"$100k-$135k","Create polished motion assets and product animations that make the design experience feel alive and intuitive.","After Effects|Motion Design|Animation",3 days ago,false
11,marketing,Mailchimp,📧,Content Marketing Manager,Atlanta,Full Time,false,"$85k-$110k","Shape the voice of the brand through campaigns, thought leadership, and lifecycle content that drives acquisition.","Content Strategy|SEO|Brand Voice",5 days ago,false
12,finance,Robinhood,📈,Risk Analyst,Remote,Full Time,true,"$105k-$145k","Monitor portfolio and operational risk patterns using data-driven analysis to support better financial decisions.","Risk Analysis|SQL|Python",4 days ago,true
13,technology,GitHub,🐙,Platform Engineer,Remote,Full Time,true,"$150k-$190k","Build internal platform capabilities that help engineering teams ship faster with safer, scalable tooling.","Kubernetes|Go|Cloud",2 weeks ago,true
14,healthcare,Solv,🩺,UX Researcher,San Francisco,Part Time,false,"$70k-$95k","Run user research for healthcare access products and translate findings into better patient journeys.","User Research|Interviews|Healthcare",1 week ago,false
15,sales,ZoomInfo,📞,Sales Development Representative,Chicago,Internship,false,"$55k-$75k","Support the outbound sales pipeline by qualifying leads and setting up discovery meetings for account executives.","Lead Gen|Outbound|B2B",3 days ago,false